"","Variable","Estimate","SE","z-value","P-value"
"humpop_dens","humpop_dens","0.0546983216492675","0.0878227196660215","0.622826551685922","0.533398508089859"
"I(humpop_dens^2)","I(humpop_dens^2)","0.0353776676324846","0.0690007137853007","0.512714516875348","0.608151033481736"
"human_flow","human_flow","-0.046756366177632","0.11185898682794","-0.417993828690331","0.67595162930897"
"I(human_flow^2)","I(human_flow^2)","0.0596298511714288","0.0416987963608814","1.43001372642422","0.152713079503466"
"hrs_openmarkets","hrs_openmarkets","0.076181250490744","0.256663695529694","0.296813502718114","0.766608896107458"
"I(hrs_openmarkets^2)","I(hrs_openmarkets^2)","0.00681894650974381","0.11994971032179","0.0568483783032955","0.954665975908147"
"bakeries_dens","bakeries_dens","0.0203534505562007","0.0942606319528104","0.215927372165192","0.829044360457175"
"I(bakeries_dens^2)","I(bakeries_dens^2)","0.0735571000612783","0.070987965562404","1.03619112730616","0.300112985292878"
"greenspace_dens","greenspace_dens","-0.0463169823589207","0.142446790296449","-0.325152867695577","0.745065378232511"
"I(greenspace_dens^2)","I(greenspace_dens^2)","0.00256398519387998","0.0552399477455957","0.0464154167141551","0.96297914899505"
"noise_pollut","noise_pollut","0.182418142029262","0.106254102727167","1.7168103381162","0.0860138314211529"
"I(noise_pollut^2)","I(noise_pollut^2)","0.044488089506224","0.0981663730692339","0.453190722192087","0.650411412614119"
"airqual_pca1","airqual_pca1","0.114187046238747","0.0499334314408722","2.28678548507045","0.0222083471193233"
"I(airqual_pca1^2)","I(airqual_pca1^2)","-0.00835515093827355","0.0263146205690201","-0.317509838926196","0.750856775031112"
"waste_dens","waste_dens","0.0177297164058035","0.0889558711727691","0.199309120039632","0.842020945532475"
"I(waste_dens^2)","I(waste_dens^2)","0.0467854756887549","0.0786543684233186","0.594823614080212","0.551961381139867"
"hairdres_dens","hairdres_dens","-0.0150517593095318","0.116385017182295","-0.129327293786931","0.897098675464248"
"I(hairdres_dens^2)","I(hairdres_dens^2)","0.115556333727976","0.060529780596083","1.90908231601047","0.0562514736182867"
