"","Variable","Estimate","SE","z-value","P-value"
"humpop_dens","humpop_dens","0.0251977384325606","0.037821131922786","0.666234381456461","0.505261300182439"
"I(humpop_dens^2)","I(humpop_dens^2)","0.0667132586558362","0.0279721599842795","2.38498774114439","0.0170796904866358"
"human_flow","human_flow","0.00642331317001144","0.0588299386313847","0.109184427511619","0.913056211507164"
"I(human_flow^2)","I(human_flow^2)","-0.00127364084197331","0.0208257602251148","-0.0611569915434523","0.951234181359294"
"hrs_openmarkets","hrs_openmarkets","-0.0189502980894396","0.124730850934877","-0.151929518217859","0.879242526370931"
"I(hrs_openmarkets^2)","I(hrs_openmarkets^2)","0.0160280042024782","0.0562497769348863","0.284943426905175","0.775687484600383"
"bakeries_dens","bakeries_dens","0.0128855249131941","0.0481041104148468","0.267867440060114","0.788801357145041"
"I(bakeries_dens^2)","I(bakeries_dens^2)","-0.0102169650832726","0.0377797556121266","-0.270434917265403","0.786825680393419"
"greenspace_dens","greenspace_dens","-0.112669463179727","0.0717925927995648","-1.56937448260553","0.116560706276724"
"I(greenspace_dens^2)","I(greenspace_dens^2)","0.0176904612595098","0.028852011759679","0.613144809688191","0.539780593597763"
"noise_pollut","noise_pollut","0.0365385064891996","0.0597843248605141","0.611172018325029","0.541085705857029"
"I(noise_pollut^2)","I(noise_pollut^2)","-0.0146516301901996","0.0543177110727616","-0.269739462522139","0.787360698730943"
"airqual_pca1","airqual_pca1","0.0519668839053531","0.0273672216392386","1.89887320643627","0.0575811489582566"
"I(airqual_pca1^2)","I(airqual_pca1^2)","-0.0183048407462594","0.0141514801081113","-1.29349302026488","0.195840596543035"
"waste_dens","waste_dens","0.0217342691993707","0.0439323682987575","0.494721091555298","0.620797011206095"
"I(waste_dens^2)","I(waste_dens^2)","0.00768243845888059","0.0399238880583382","0.192427111499129","0.847407657308358"
"hairdres_dens","hairdres_dens","0.0335119815795504","0.0649153659712564","0.516241125319835","0.605686010376894"
"I(hairdres_dens^2)","I(hairdres_dens^2)","-0.00153944959287747","0.0322494785041761","-0.047735643002045","0.961926927462665"
