"","Variable","Estimate","SE","z-value","P-value"
"1","humpop_dens","0.0548220727803434","0.089120721791433","0.615143949446932","0.538459659875922"
"2","human_flow","0.0598348131080617","0.0859876916131937","0.695853231846507","0.486520748575269"
"3","openmarkets1","0.232751078972562","0.213415099553366","1.09060267740972","0.275447750937389"
"4","hrs_openmarkets","0.0899686829256102","0.0840122834052089","1.07089915044533","0.284214777913245"
"5","bakeries_dens","0.0563941579211069","0.0892969875053807","0.631534831090566","0.527690882237579"
"6","greenspace_dens","-0.041200728842334","0.0901011082899503","-0.457272164841167","0.647475434137422"
"7","noise_pollut","0.213840635580741","0.0811676136011788","2.63455614983899","0.0084247368183967"
"8","airqual_pca1","0.11702318425658","0.0490673281582677","2.38495122210689","0.0170813860289405"
"9","waste_dens","0.0197250569836299","0.0895599490299213","0.22024417384427","0.825680995387483"
"10","hairdres_dens","0.145215515169935","0.0847932626258719","1.71258317787181","0.0867892502560697"
